iter	Passed	Remaining
399	45733	68599
400	45850	68490
401	45973	68388
402	46076	68257
403	46173	68118
404	46269	67976
405	46359	67826
406	46484	67728
407	46565	67565
408	46685	67459
409	46778	67314
410	46877	67180
411	46969	67034
412	47082	66918
413	47177	66778
414	47268	66631
415	47358	66483
416	47454	66345
417	47537	66188
418	47623	66036
419	47707	65881
420	47785	65719
421	47863	65557
422	47972	65437
423	48069	65301
424	48163	65162
425	48251	65014
426	48337	64865
427	48431	64726
428	48508	64564
429	48592	64413
430	48687	64276
431	48774	64129
432	48871	63995
433	48966	63859
434	49073	63738
435	49197	63640
436	49296	63509
437	49379	63359
438	49521	63283
439	49673	63220
440	49756	63070
441	49882	62974
442	49981	62843
443	50073	62704
444	50162	62562
445	50272	62446
446	50368	62312
447	50463	62178
448	50546	62029
449	50644	61898
450	50729	61752
451	50814	61606
452	50908	61471
453	51034	61376
454	51131	61244
455	51228	61114
456	51310	60966
457	51394	60820
458	51478	60674
459	51564	60532
460	51694	60441
461	51795	60315
462	51887	60180
463	51980	60046
464	52061	59898
465	52161	59773
466	52253	59637
467	52364	59525
468	52468	59404
469	52564	59274
470	52659	59144
471	52752	59010
472	52868	58904
473	52947	58756
474	53043	58626
475	53139	58498
476	53237	58371
477	53348	58259
478	53440	58126
479	53534	57996
480	53626	57863
481	53733	57746
482	53813	57601
483	53909	57473
484	53996	57336
485	54074	57189
486	54180	57072
487	54266	56935
488	54342	56787
489	54429	56651
490	54514	56512
491	54608	56384
492	54696	56249
493	54791	56122
494	54871	55980
495	54972	55859
496	55066	55731
497	55158	55601
498	55247	55469
499	55341	55341
500	55420	55199
501	55515	55072
502	55594	54931
503	55693	54809
504	55787	54682
505	55875	54550
506	55963	54418
507	56071	54305
508	56161	54175
509	56269	54062
510	56396	53968
511	56507	53858
512	56613	53744
513	56718	53628
514	56843	53532
515	56952	53420
516	57043	53291
517	57118	53148
518	57205	53016
519	57288	52881
520	57366	52741
521	57481	52636
522	57614	52546
523	57754	52463
524	57864	52353
525	57996	52262
526	58124	52168
527	58208	52034
528	58327	51932
529	58425	51811
530	58573	51734
531	58716	51652
532	58825	51541
533	58912	51410
534	59004	51284
535	59126	51183
536	59224	51063
537	59325	50944
538	59434	50833
539	59535	50715
540	59642	50602
541	59791	50524
542	59868	50386
543	59951	50253
544	60051	50134
545	60170	50032
546	60264	49908
547	60401	49819
548	60485	49688
549	60577	49563
550	60664	49434
551	60764	49316
552	60862	49196
553	60964	49079
554	61076	48971
555	61210	48880
556	61300	48754
557	61384	48623
558	61490	48510
559	61594	48395
560	61735	48309
561	61854	48206
562	61955	48089
563	62054	47971
564	62148	47848
565	62244	47728
566	62369	47629
567	62465	47509
568	62569	47394
569	62680	47285
570	62769	47159
571	62883	47052
572	62981	46933
573	63087	46820
574	63179	46697
575	63293	46591
576	63399	46478
577	63487	46352
578	63585	46233
579	63664	46101
580	63762	45983
581	63878	45878
582	63976	45760
583	64061	45632
584	64142	45502
585	64242	45386
586	64332	45262
587	64419	45137
588	64538	45034
589	64685	44950
590	64840	44872
591	64940	44756
592	65049	44646
593	65165	44540
594	65268	44426
595	65360	44304
596	65467	44192
597	65560	44072
598	65663	43958
599	65763	43842
600	65860	43724
601	65978	43620
602	66079	43504
603	66182	43390
604	66339	43312
605	66434	43193
606	66546	43085
607	66661	42979
608	66793	42883
609	66910	42778
610	67008	42661
611	67109	42546
612	67185	42415
613	67281	42297
614	67375	42178
615	67463	42055
616	67550	41931
617	67642	41811
618	67717	41680
619	67805	41558
620	67891	41434
621	67990	41318
622	68087	41202
623	68204	41097
624	68300	40980
625	68392	40860
626	68500	40750
627	68640	40659
628	68740	40544
629	68834	40426
630	68928	40308
631	69029	40194
632	69135	40083
633	69215	39957
634	69313	39841
635	69439	39741
636	69525	39619
637	69634	39510
638	69810	39439
639	69902	39320
640	69979	39193
641	70087	39082
642	70184	38966
643	70275	38848
644	70374	38733
645	70461	38612
646	70552	38493
647	70653	38379
648	70772	38276
649	70895	38174
650	70991	38058
651	71104	37951
652	71190	37830
653	71336	37740
654	71456	37637
655	71548	37519
656	71658	37410
657	71780	37308
658	71900	37204
659	72003	37092
660	72091	36972
661	72200	36863
662	72343	36771
663	72473	36673
664	72595	36570
665	72734	36476
666	72827	36359
667	72905	36234
668	73001	36118
669	73096	36002
670	73205	35893
671	73314	35784
672	73449	35687
673	73582	35590
674	73678	35474
675	73778	35361
676	73874	35245
677	73968	35129
678	74056	35010
679	74173	34905
680	74312	34810
681	74427	34703
682	74546	34599
683	74629	34478
684	74725	34362
685	74820	34247
686	74910	34129
687	75012	34017
688	75108	33902
689	75209	33789
690	75308	33676
691	75420	33568
692	75507	33449
693	75623	33344
694	75755	33245
695	75848	33129
696	75931	33009
697	76033	32897
698	76136	32785
699	76249	32678
700	76344	32563
701	76434	32446
702	76524	32329
703	76623	32216
704	76716	32101
705	76807	31985
706	76930	31882
707	77020	31765
708	77108	31648
