iter	RMSE
591	2.027347293
592	2.026369167
593	2.026352204
594	2.026335612
595	2.026319714
596	2.024671063
597	2.023012465
598	2.022151476
599	2.02213622
600	2.021003134
601	2.020825741
602	2.020653154
603	2.02047245
604	2.019176708
605	2.018618918
606	2.017172515
607	2.015398331
608	2.014819278
609	2.014167076
610	2.014055795
611	2.012731039
612	2.0125697
613	2.011197229
614	2.011083925
615	2.010115582
616	2.008855516
617	2.007287396
618	2.006725397
619	2.005519503
620	2.004882624
621	2.004278256
622	2.004148333
623	2.003622725
624	2.002730037
625	2.001921475
626	2.001646707
627	2.000160915
628	1.999225122
629	1.99857208
630	1.997022566
631	1.995877094
632	1.995328696
633	1.99475023
634	1.994691124
635	1.992877088
636	1.992346252
637	1.99159772
638	1.991243658
639	1.990918387
640	1.990401429
641	1.988702097
642	1.987775926
643	1.987682505
644	1.986850152
645	1.986361765
646	1.985504334
647	1.984517972
648	1.983967424
649	1.982376585
650	1.981106946
651	1.979899277
652	1.978692449
653	1.978359083
654	1.977371398
655	1.974842007
656	1.97428211
657	1.972755394
658	1.971859086
659	1.971258622
660	1.969390106
661	1.968733301
662	1.967676016
663	1.965685697
664	1.964656317
665	1.964262935
666	1.963531337
667	1.961980982
668	1.961598721
669	1.961069313
670	1.960255664
671	1.959073756
672	1.957510313
673	1.956259891
674	1.955120613
675	1.954569294
676	1.9544293
677	1.95335679
678	1.953273176
679	1.952332204
680	1.952019345
681	1.951238578
682	1.950470601
683	1.950278779
684	1.949883995
685	1.948462814
686	1.948447455
687	1.948105769
688	1.947222165
689	1.945881334
690	1.945395323
691	1.943069744
692	1.942226608
693	1.941177071
694	1.939315218
695	1.938337677
696	1.935667915
697	1.934406962
698	1.933856167
699	1.932240134
700	1.929320363
701	1.926464338
702	1.924116896
703	1.921384447
704	1.919195625
705	1.917213423
706	1.915977923
707	1.913273889
708	1.91118482
709	1.909244678
710	1.907414306
711	1.904079778
712	1.900948565
713	1.898007783
714	1.89728315
715	1.89512267
716	1.893779184
717	1.890648473
718	1.89003905
719	1.888450797
720	1.887031883
721	1.884715231
722	1.882895671
723	1.882201233
724	1.879926553
725	1.878437201
726	1.876285396
727	1.874628666
728	1.87325567
729	1.872682772
730	1.870510402
731	1.868986997
732	1.866996257
733	1.866388205
734	1.866388189
735	1.865833753
736	1.865754071
737	1.865682004
738	1.86492929
739	1.863693662
740	1.860654305
741	1.859644945
742	1.858467312
743	1.856730411
744	1.855224962
745	1.8543891
746	1.852623379
747	1.852623355
748	1.851596312
749	1.851115179
750	1.850112058
751	1.850112037
752	1.850098808
753	1.849976385
754	1.847996543
755	1.847996531
756	1.847337716
757	1.847337699
758	1.846858531
759	1.846858515
760	1.846858501
761	1.846858488
762	1.846409209
763	1.844916806
764	1.844916794
765	1.844916783
766	1.844916774
767	1.844916765
768	1.841949901
769	1.841949891
770	1.841949882
771	1.839581516
772	1.838661994
773	1.837821022
774	1.837808412
775	1.83655344
776	1.835926719
777	1.834972718
778	1.83497271
779	1.834972702
780	1.83242482
781	1.831545044
782	1.831494383
783	1.828798153
784	1.828798148
785	1.828798141
786	1.826911524
787	1.826911473
788	1.826911466
789	1.825953363
790	1.825647863
791	1.825138692
792	1.821294222
793	1.820990293
794	1.820221727
795	1.819378611
796	1.816613229
797	1.816613224
798	1.814405094
799	1.81440509
800	1.814024792
801	1.813665514
802	1.813531431
803	1.810650626
804	1.809001356
805	1.80898316
806	1.80896663
807	1.807403241
808	1.806668094
809	1.804114978
810	1.803306684
811	1.803260596
812	1.801660829
813	1.799827342
814	1.797876372
815	1.797408477
816	1.797337925
817	1.797337921
818	1.797295804
819	1.796528689
820	1.794823755
821	1.794233305
822	1.792117943
823	1.79073739
824	1.788449894
825	1.786777886
826	1.785556327
827	1.785556323
828	1.785295846
829	1.783266665
830	1.783265894
831	1.783115402
832	1.783047443
833	1.783047439
834	1.782252801
835	1.782252796
836	1.781856495
837	1.781855964
838	1.779187733
839	1.778503999
840	1.778476789
841	1.778476785
842	1.776406971
843	1.775568505
844	1.775186381
845	1.770843091
846	1.770284391
847	1.76979257
848	1.767525006
849	1.766110872
850	1.765586287
851	1.764757515
852	1.76421465
853	1.762853992
854	1.762344617
855	1.761307573
856	1.760237434
857	1.76023743
858	1.759625839
859	1.759140959
860	1.759051378
861	1.7590015
862	1.758753395
863	1.758752985
864	1.758100307
865	1.753616955
866	1.753153712
867	1.751540389
868	1.751539725
869	1.748333718
870	1.747429072
871	1.747065094
872	1.74401958
873	1.74127683
874	1.74124819
875	1.741244436
876	1.739823904
877	1.738611001
878	1.736456924
879	1.733547122
880	1.731983499
881	1.731976017
882	1.729265281
883	1.728904715
884	1.728556568
885	1.727119252
886	1.727112387
887	1.726777376
888	1.726343387
889	1.722352902
890	1.719837646
891	1.718456201
892	1.717902088
893	1.715017029
894	1.715017019
895	1.713302096
896	1.713274991
897	1.711957941
898	1.709117347
899	1.709117342
900	1.706450892
901	1.706441137
902	1.704407082
903	1.704407071
904	1.70215896
905	1.700400057
906	1.700081891
907	1.698642126
908	1.696998662
909	1.696086197
910	1.695775959
911	1.694909328
912	1.694426521
913	1.691873206
914	1.691179887
915	1.68874743
916	1.688327584
917	1.687666925
918	1.687666749
919	1.687242592
920	1.687242585
921	1.687242423
922	1.686836981
923	1.686836975
924	1.686099658
925	1.685720566
926	1.68465786
927	1.684596089
928	1.683713104
929	1.683712948
930	1.682999156
931	1.682999005
932	1.682993965
933	1.682993828
934	1.682147573
935	1.681241265
936	1.681241257
937	1.68123448
938	1.681234348
939	1.679254826
940	1.678887992
941	1.677798758
942	1.677798749
943	1.677449557
944	1.677449549
945	1.677114963
946	1.677114955
947	1.676728875
948	1.675785314
949	1.675785306
950	1.674025642
951	1.671919143
952	1.670023198
953	1.6697488
954	1.666762589
955	1.665724167
956	1.665308273
957	1.664988676
958	1.664988393
959	1.664639664
960	1.664525416
961	1.661692789
962	1.659734007
963	1.65921174
964	1.65679621
965	1.656669584
966	1.656336784
967	1.655566803
968	1.655246404
969	1.655058166
970	1.654245235
971	1.654175651
972	1.654081254
973	1.653965695
974	1.651113493
975	1.650607998
976	1.649826369
977	1.649759204
978	1.649447754
979	1.64848678
980	1.647863624
981	1.647419618
982	1.647022036
983	1.646644267
984	1.64627964
985	1.645979895
986	1.645323621
987	1.645160175
988	1.644766481
989	1.642071488
990	1.641540109
991	1.640336694
992	1.640045023
993	1.639331353
994	1.638918873
995	1.638463306
996	1.638349037
997	1.637952289
998	1.634938817
999	1.634662078
